Brand,Switch Name,Switch Name Complete,Type,Actuation Force,Actuation Point,Bottom Out,Bottom Out Travel,Stem Compatibility,Available On Brand Names?,Notes
Cherry,MX Blue,Cherry MX Blue,Clicky,50,2,60,4,Cherry,Yes,
Cherry,MX Black,Cherry MX Black,Linear,60,2,80,4,Cherry,Yes,
Cherry,MX Brown,Cherry MX Brown,Tactile,45,2,60,4,Cherry,Yes,
Cherry,MX Red,Cherry MX Red,Linear,45,2,60,4,Cherry,Yes,
Cherry,MX Clear,Cherry MX Clear,Tactile,65,2,95,4,Cherry,,
Cherry,MX Green,Cherry MX Green,Clicky,70,2,90,4,Cherry,,
Cherry,MX White,Cherry MX White,Clicky,80,2.2,80,4,Cherry,,
Cherry,MX Tactile Grey,Cherry MX Tactile Grey,Tactile,80,2,110,4,Cherry,,
Cherry,MX Linear Grey,Cherry MX Linear Grey,Linear,80,2,115,4,Cherry,,
Cherry,MX Silent Black,Cherry MX Silent Black,Linear,60,1.9,80,3.7,Cherry,,
Cherry,MX Silver,Cherry MX Silver,Linear,45,1.2,60,3.4,Cherry,Yes,
Cherry,MX Speed Silver,Cherry MX Speed Silver,Linear,45,1.2,65,3.4,Cherry,Yes,
Cherry,MX Silent Red,Cherry MX Silent Red,Linear,45,1.9,60,3.7,Cherry,,
Cherry,MX Nature White,Cherry MX Nature White,Linear,55,2,65,4,Cherry,,
Cherry,MX Low Profile Red,Cherry MX Low Profile Red,Linear,45,1.2,80,3.2,Cherry,,
Cherry,MX Low Profile Speed,Cherry MX Low Profile Speed,Linear,45,1,80,3.2,,,
Logitech,Romer-G Tactile,Logitech Romer-G Tactile,Tactile,45,1.5,55,3,Romer-G,Yes,
Logitech,Romer-G Linear,Logitech Romer-G Linear,Linear,45,1.5,55,3.2,Romer-G,Yes,
Logitech,GX Blue,Logitech GX Blue,Clicky,50,2,60,3.7,Cherry,Yes,
Logitech,GX Brown,Logitech GX Brown,Tactile,50,2,,4,Cherry,Yes,
Logitech,GX Red,Logitech GX Red,Linear,50,1.9,,4,Chery,Yes,
Razer,Green,Razer Green,Clicky,50,2,60,4,Cherry,Yes,
Razer,Orange,Razer Orange,Tactile,40,2,60,4,Cherry,Yes,
Razer,Yellow,Razer Yellow,Linear,45,1.2,45,3.5,Cherry,Yes,
Razer,Clicky Optical Switch,Razer Clicky Optical Switch,Clicky,45,1.5,70,3.5,Cherry,,Optical switch
Razer,Linear Optical Switch,Razer Linear Optical Switch,Linear,40,1,60,3.5,Cherry,Yes,
Steelseries,QS1,Steelseries QS1,Linear,45,1.5,45,3.5,QS1,Yes,
Coolermaster,Hybrid capacitive,Coolermaster Hybrid capacitive,Tactile,45,1,,4,Cherry,Yes,Topre switches
Roccat,Titan,Roccat Titan,Tactile,,1.8,,3.6,Cherry,Yes,"Only on Roccat boards, force curves to come!"
IBM,Buckling Spring,IBM Buckling Spring,Clicky,70,2,90,4,Buckling Spring,,
Topre,30,Topre 30,Tactile,30,2,70,4,Topre,,
Topre,35,Topre 35,Tactile,25,2,50,4,Topre,,
Topre,45,Topre 45,Tactile,45,2,80,4,Topre,,
Topre,55,Topre 55,Tactile,65,2,110,4,Topre,,
Matias,Quiet Click,Matias Quiet Click,Tactile,50,2.2,35,3.5,ALPS,,SKCM/ALPS clones
Matias,Click,Matias Click,Clicky,50,2.2,35,3.5,ALPS,,SKCM/ALPS clones
Matias,Quiet Linear,Matias Quiet Linear,Linear,35,2.2,35,3.5,ALPS,,SKCM/ALPS clones
Gateron,Clear,Gateron Clear,Linear,35,2.2,35,4,Cherry,,Not similar to Cherry Clears at all
Gateron,Red,Gateron Red,Linear,45,2.2,55,4,Cherry,,
Gateron,Yellow,Gateron Yellow,Linear,50,2,60,4,Cherry,,
Gateron,Black,Gateron Black,Linear,60,2,75,4,Cherry,,
Gateron,Brown,Gateron Brown,Tactile,45,2.65,50,4,Cherry,,
Gateron,Blue,Gateron Blue,Clicky,55,2.2,60,4,Cherry,,
Gateron,Green,Gateron Green,Clicky,80,2.2,80,4,Cherry,,
Gateron,Ink,Gateron Ink,Linear,60,2.2,70,4,Cherry,,
Gateron,Robin 62G,Gateron Robin 62G,Linear,40,2,62,4,Cherry,,
Kailh,Red,Kailh Red,Linear,50,2,65,4,Cherry,Yes,
Kailh,Brown,Kailh Brown,Tactile,50,2,60,4,Cherry,Yes,
Kailh,Black,Kailh Black,Linear,60,2,,4,Cherry,Yes,
Kailh,Blue,Kailh Blue,Clicky,50,2,60,4,Cherry,Yes,
Kailh,Speed Silver,Kailh Speed Silver,Linear,50,1.1,70,3.5,Cherry,,
Kailh,Speed Copper,Kailh Speed Copper,Tactile,50,1.1,60,3.5,Cherry,,
Kailh,Speed Bronze,Kailh Speed Bronze,Clicky,50,1.1,65,3.5,Cherry,,
Kailh,Speed Pink,Kailh Speed Pink,Clicky,50,1.1,,3.5,Cherry,,
Kailh,Speed Gold,Kailh Speed Gold,Clicky,50,1.4,60,3.5,Cherry,,
Kailh,Box Red,Kailh Box Red,Linear,45,1.8,60,3.6,Cherry,,
Kailh,Box Black,Kailh Box Black,Linear,60,1.8,75,3.6,Cherry,,
Kailh,Box Navy,Kailh Box Navy,Clicky,60,1.8,90,3.6,Cherry,,
Kailh,Box Jade,Kailh Box Jade,Clicky,50,1.8,60,3.6,Cherry,,
Kailh,Box Brown,Kailh Box Brown,Tactile,45,1.8,60,3.6,Cherry,,
Kailh,Box White,Kailh Box White,Clicky,45,1.8,55,3.6,Cherry,,
Kailh,Box Dark Yellow,Kailh Box Dark Yellow,Linear,70,1.8,80,3.6,Cherry,,
Kailh,Box Pink,Kailh Box Pink,Clicky,65,1.8,55,3.6,Cherry,,
Kailh,Box Chinese Red,Kailh Box Chinese Red,Linear,45,1.8,55,3.6,Cherry,,
Kailh,Box Noble Yellow,Kailh Box Noble Yellow,Clicky,65,1.8,50,3.6,Cherry,,
Kailh,Box Glazed Green,Kailh Box Glazed Green,Clicky,50,1.8,50,3.6,Cherry,,
Kailh,Ancient Grey,Kailh Ancient Grey,Linear,95,1.8,100,3.6,Cherry,,
Kailh,Heavy Burnt Orange,Kailh Heavy Burnt Orange,Tactile,60,1.8,80,3.6,Cherry,,
Kailh,Box Royal,Kailh Box Royal,Tactile,40,1.8,70,3.6,Cherry,,
Kailh,Box Pale Blue,Kailh Box Pale Blue,Clicky,60,1.8,80,3.6,Cherry,,
Kailh,Pro Burgundy,Kailh Pro Burgundy,Linear,50,1.7,70,3.6,Cherry,,
Kailh,Pro Purple,Kailh Pro Purple,Tactile,50,1.7,70,3.6,Cherry,,
Kailh,Pro Light Green,Kailh Pro Light Green,Clicky,50,1.7,60,3.6,Cherry,,
Kailh,Low Profile Choc Dark Yellow,Kailh Low Profile Choc Dark Yellow,Linear,70,1.5,85,3,Kailh Low Profile,,
Kailh,Low Profile Choc Burnt Orange,Kailh Low Profile Choc Burnt Orange,Tactile,70,1.5,85,3,Kailh Low Profile,,
Kailh,Low Profile Choc Pale Blue,Kailh Low Profile Choc Pale Blue,Clciky,70,1.5,85,3,Kailh Low Profile,,
Kailh,Low Profile Choc Red,Kailh Low Profile Choc Red,Linear,50,1.5,65,3,Kailh Low Profile,,
Kailh,Low Profile Choc Brown,Kailh Low Profile Choc Brown,Tactile,50,1.5,65,3,Kailh Low Profile,,
Kailh,Low Profile Choc White,Kailh Low Profile Choc White,Clicky,50,1.5,65,3,Kailh Low Profile,,
Kailh,Low Profile Choc Navy,Kailh Low Profile Choc Navy,Clicky,60,1.5,85,3,Kailh Low Profile,,
Kailh,Low Profile Choc Jade,Kailh Low Profile Choc Jade,Clicky,60,1.5,75,3,Kailh Low Profile,,
Kailh,Box Red Pro,Kailh Box Red Pro,Linear,35,1.8,45,3.6,Cherry,,
Kailh,Speed Navy,Kailh Speed Navy,Tactile,65,1.4,,3.5,Cherry,,
ZealPC,Zealios 62 g,ZealPC Zealios 62 g,Tactile,20,2.4,62,4,Cherry,,
ZealPC,Zealios 65 g,ZealPC Zealios 65 g,Tactile,25,2.4,65,4,Cherry,,
ZealPC,Zealios 67 g,ZealPC Zealios 67 g,Tactile,30,2.4,67,4,Cherry,,
ZealPC,Zealios 78 g,ZealPC Zealios 78 g,Tactile,40,2.4,78,4,Cherry,,"Lighter Cherry MX Clear, Smoother"
ZealPC,Tiffany Blue Tealios,ZealPC Tiffany Blue Tealios,Linear,,2.4,67,4,Cherry,,
ZealPC,Orange Healios,ZealPC Orange Healios,Linear,,4,67,4,Cherry,,
ZealPC,Zilents 62 g,ZealPC Zilents 62 g,Tactile,20,2.4,62,4,Cherry,,Silent Zealios
ZealPC,Zilents 65 g,ZealPC Zilents 65 g,Tactile,25,2.4,65,4,Cherry,,Silent Zealios
ZealPC,Zilents 67 g,ZealPC Zilents 67 g,Tactile,30,2.4,67,4,Cherry,,Silent Zealios
ZealPC,Zilents 78 g,ZealPC Zilents 78 g,Tactile,40,2.4,78,4,Cherry,,Silent Zealios
Input Club,Hako True,Input Club Hako True,Tactile,60,2,95,3.6,Cherry,,
Input Club,Hako Clear,Input Club Hako Clear,Tactile,55,2,75,3.6,Cherry,,
Input Club,Hako Violet,Input Club Hako Violet,Tactile,40,2,50,3.6,Cherry,,
Input Club,Hako Royal True,Input Club Hako Royal True,Tactile,60,2,85,3.6,Cherry,,
Input Club,Hako Royal Clear,Input Club Hako Royal Clear,Tactile,50,2,85,3.6,Cherry,,
Input Club,Halo Clear,Input Club Halo Clear,Tactile,50,2,80,4,Cherry,,
Input Club,Halo True,Input Club Halo True,Tactile,55,2,100,4,Cherry,,
MOD,MOD-L,MOD MOD-L,Linear,45,2,,4,Cherry,,
MOD,MOD-L,MOD MOD-L,Tactile,45,2,62,4,Cherry,,
MOD,MOD-M,MOD MOD-M,Linear,55,2,,4,Cherry,,
MOD,MOD-M,MOD MOD-M,Tactile,55,2,66,4,Cherry,,
MOD,MOD-H,MOD MOD-H,Linear,62,2,80,4,Cherry,,
MOD,MOD-H,MOD MOD-H,Tactile,62,2,78,4,Cherry,,
MOD,MOD-SH,MOD MOD-SH,Tactile,70,2,,4,Cherry,,
Aliaz,60g,Aliaz 60g,Tactile,,2,60,4,Cherry,,Kind of similar to Zealio
Aliaz,70g,Aliaz 70g,Tactile,,2,70,4,Cherry,,Kind of similar to Zealio
Aliaz,80g,Aliaz 80g,Tactile,,2,80,4,Cherry,,Kind of similar to Zealio
Aliaz,100g,Aliaz 100g,Tactile,,2,100,4,Cherry,,Kind of similar to Zealio
Outemu,Brown,Outemu Brown,Tactile,40,2,60,4,Cherry,,
Outemu,Blue,Outemu Blue,Clicky,46,2,60,4,Cherry,,
Outemu,Red,Outemu Red,Linear,47,2,60,4,Cherry,,
Outemu,Black,Outemu Black,Linear,65,2,84,4,Cherry,,
Outemu,Ice Silver,Outemu Ice Silver,Linear,,2,68,4,Cherry,,
Outemu,ICE Light Purple,Outemu ICE Light Purple,Tactile,,2,62,4,Cherry,,
Outemu,ICE Dustproof Brown,Outemu ICE Dustproof Brown,Tactile,,2,62,4,Cherry,,
Outemu,ICE Dark Purple,Outemu ICE Dark Purple,Tactile,,2,68,4,Cherry,,
Outemu,ICE Grey,Outemu ICE Grey,Tactile,,2,75,4,Cherry,,
Outemu,ICE Blue,Outemu ICE Blue,Clicky,,2,62,4,Cherry,,
Outemu,ICE Teal,Outemu ICE Teal,Clicky,,2,68,4,Cherry,,
Outemu,ICE Click,Outemu ICE Click,Clicky,,2,75,4,Cherry,,
Outemu,Low Profile Red,Outemu Low Profile Red,Linear,50,1.3,,3,Cherry,,
Outemu,Low Profile Blue,Outemu Low Profile Blue,Clicky,60,1.3,,3,Cherry,,
Outemu,Low Profile Black,Outemu Low Profile Black,Linear,65,1.3,,3,Cherry,,
Outemu,Low Profile Brown,Outemu Low Profile Brown,Tactile,,1.3,,3,Cherry,,
Greetech,Brown,Greetech Brown,Tactile,40,2,60,4,Cherry,Yes,
Greetech,Blue,Greetech Blue,Clicky,50,2,60,4,Cherry,Yes,
Greetech,Red,Greetech Red,Linear,45,2,55,4,Cherry,Yes,
Greetech,Black,Greetech Black,Linear,60,2,80,4,Cherry,Yes,
Tesoro,Agile Red,Tesoro Agile Red,Linear,45,1.5,,3.5,Cherry,,
Tesoro,Agile Blue,Tesoro Agile Blue,Clicky,45,1.5,,3.5,Cherry,,
Tesoro,Slim Blue,Tesoro Slim Blue,Clicky,50,1,,3,Tesoro,,
Tesoro,Slim Blue,Tesoro Slim Blue,,45,1,,3,Tesoro,,
NovelKeys,Cream,NovelKeys Cream,Linear,55,2,70,4,Cherry,,
NovelKeys,Silk Red,NovelKeys Silk Red,Linear,35,2,55,4,Cherry,,
NovelKeys,Silk Yellow,NovelKeys Silk Yellow,Linear,43,2,63.5,4,Cherry,,
NovelKeys,Silk Black,NovelKeys Silk Black,Linear,55,2,72,4,Cherry,,
NovelKeys,Silk Olivia,NovelKeys Silk Olivia,Linear,43,2,63.5,4,Cherry,,
Geekmaker,Creamy Yellow,Geekmaker Creamy Yellow,Linear,55,,,,Cherry,,
Geekmaker,Creamy Pink,Geekmaker Creamy Pink,Linear,62,,,,Cherry,,
Geekmaker,Creamy Purple,Geekmaker Creamy Purple,Linear,67,,,,Cherry,,
Geekmaker,Creamy Green,Geekmaker Creamy Green,Linear,78,,,,Cherry,,
TTC,Orange Black,TTC Orange Black,Linear,60,2,,4,Cherry,,
TTC,Orange Red,TTC Orange Red,Linear,45,2,,4,Cherry,,
TTC,Orange Blue,TTC Orange Blue,Clicky,60,2.2,,4,Cherry,,
TTC,Orange Brown,TTC Orange Brown,Tactile,45,2,,4,Cherry,,
YOK,Red Pandas,YOK Red Pandas,Linear,50,,60,,Cherry,,
YOK,Trash Panda,YOK Trash Panda,Linear,50,2,60,4,Cherry,,
YOK,Purple Trash Panda,YOK Purple Trash Panda,Tactile,57,2,70,4,Cherry,,
TTC,Silent Red,TTC Silent Red,Linear,45,2,55,3.8,Cherry,,
TTC,Silent Brown,TTC Silent Brown,Tactile,45,2,60,3.8,Cherry,,
TTC,Gold Brown,TTC Gold Brown,Tactile,45,2,60,4,Cherry,,
TTC,Gold Pink,TTC Gold Pink,,37,2,45,4,Cherry,,
TTC,Wild 42g,TTC Wild 42g,Linear,42,2,52,4,Cherry,,
TTC,Wild 55g,TTC Wild 55g,Linear,55,2,68,4,Cherry,,
Varmilo,EC Sakura,Varmilo EC Sakura,Linear,45,2,60,4,Cherry,,
Varmilo,EC Rosery,Varmilo EC Rosery,Linear,55,2,75,4,Cherry,,
Varmilo,EC Ivy,Varmilo EC Ivy,Linear,50,2.3,,4,Cherry,,
KBT,Blue,KBT Blue,Clicky,50,2,,4,Cherry,,
KBT,Brown,KBT Brown,Tactile,45,2,,4,Cherry,,
KBT,Red,KBT Red,Linear,60,2,,4,Cherry,,
KBT,Black,KBT Black,Linear,60,2,,4,Cherry,,
Hall Effect,Linear,Hall Effect Linear,Linear,60,0.1-3.8,65,4,Cherry,,
Hall Effect,Clicky,Hall Effect Clicky,Clicky,60,0.1-3.8,65,4,Cherry,,
Hall Effect,Tactile,Hall Effect Tactile,Tactile,60,0.1-3.8,65,4,Cherry,,
Flaretech,Red,Flaretech Red,Linear,55,1.5-3.6,55,4,Cherry,,
Flaretech,Black,Flaretech Black,Linear,55,1.5-3.6,55,4,Cherry,,
